CookerStat, GenerateAssetRegistry=0.057731, Initialize=87.215889, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_11, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=77.999702, FlushAsyncLoading=0.014968, FlushStreamingFunc=0.072695, BlockTillAllRequestsFinished=0.008125, ResetLoadersForSaveUnMarkAllObjects=79.198769, TagPackageExports=2.827887, BeginCacheForCookedPlatformData=0.005133, SerializeImports=11.957686, GatherLocalizableTextData=20.559366, MarkNames=0.123154, SerializeSummary=0.023521, SerializeNames=0.718836, SerializeGatherableTextData=0.046615, BuildExportMap=0.484496, SortExportsNonSeekfree=1.228567, SortExportsSeekfreeConstructor=0.085101, SortExportsSeekfreeInner=35.100338, SortExportsSeekfree=0.008978, BuildDependencyMap=0.184309, SerializeImportMap=0.074405, SerializeExportMap=0.102632, SerializeDependencyMap=0.032075, SerializeStringAssetReferenceMap=0.005130, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.863591, SerializeExports=15.453521, SerializeBulkData=565.143127, MoveFile=3.659189, UnaccountedTime=1.819972, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_12, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=3.888823, FlushAsyncLoading=0.011120, FlushStreamingFunc=0.056446, BlockTillAllRequestsFinished=0.007696, ResetLoadersForSaveUnMarkAllObjects=0.152662, TagPackageExports=25.868763, BeginCacheForCookedPlatformData=0.008125, SerializeImports=28.857864, GatherLocalizableTextData=17.276917, MarkNames=0.133421, SerializeSummary=0.018816, SerializeNames=0.496045, SerializeGatherableTextData=0.182167, BuildExportMap=0.451572, SortExportsNonSeekfree=4.319873, SortExportsSeekfreeConstructor=0.020951, SortExportsSeekfreeInner=41.102917, SortExportsSeekfree=0.010263, BuildDependencyMap=0.202265, SerializeImportMap=0.042763, SerializeExportMap=0.135560, SerializeDependencyMap=0.027794, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.526426, SerializeExports=41.279526, SerializeBulkData=0.014964, MoveFile=1.733590, UnaccountedTime=1.598891, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_13, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=4.372470, FlushAsyncLoading=0.005987, FlushStreamingFunc=0.068419, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=99.097450, TagPackageExports=2.949331, BeginCacheForCookedPlatformData=0.004701, SerializeImports=5.578372, GatherLocalizableTextData=25.077656, MarkNames=0.169341, SerializeSummary=0.031218, SerializeNames=1.040839, SerializeGatherableTextData=0.066709, BuildExportMap=0.685483, SortExportsNonSeekfree=1.765665, SortExportsSeekfreeConstructor=0.116743, SortExportsSeekfreeInner=48.403759, SortExportsSeekfree=0.009838, BuildDependencyMap=0.220224, SerializeImportMap=0.088945, SerializeExportMap=0.127006, SerializeDependencyMap=0.029076, SerializeStringAssetReferenceMap=0.003848, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.311744, SerializeExports=42.440098, SerializeBulkData=621.345093, MoveFile=6.419510, UnaccountedTime=2.226219, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_14, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.441956, FlushAsyncLoading=0.006843, FlushStreamingFunc=0.101347, BlockTillAllRequestsFinished=0.010692, ResetLoadersForSaveUnMarkAllObjects=0.194997, TagPackageExports=78.104904, BeginCacheForCookedPlatformData=0.008982, SerializeImports=82.707863, GatherLocalizableTextData=47.705875, MarkNames=0.339109, SerializeSummary=0.026941, SerializeNames=0.866793, SerializeGatherableTextData=0.605091, BuildExportMap=0.887323, SortExportsNonSeekfree=16.335287, SortExportsSeekfreeConstructor=0.027794, SortExportsSeekfreeInner=83.384789, SortExportsSeekfree=0.011548, BuildDependencyMap=0.493050, SerializeImportMap=0.050887, SerializeExportMap=0.363909, SerializeDependencyMap=0.067994, SerializeStringAssetReferenceMap=0.003848, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.053895, SerializeExports=110.300385, SerializeBulkData=0.015393, MoveFile=2.143688, UnaccountedTime=1.978621, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_15, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.749847, FlushAsyncLoading=0.006843, FlushStreamingFunc=0.072695, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=88.302910, TagPackageExports=2.885189, BeginCacheForCookedPlatformData=0.004273, SerializeImports=5.134497, GatherLocalizableTextData=23.691725, MarkNames=0.153944, SerializeSummary=0.026941, SerializeNames=0.961300, SerializeGatherableTextData=0.061579, BuildExportMap=0.672229, SortExportsNonSeekfree=1.698099, SortExportsSeekfreeConstructor=0.114605, SortExportsSeekfreeInner=45.714851, SortExportsSeekfree=0.011120, BuildDependencyMap=0.239898, SerializeImportMap=0.079539, SerializeExportMap=0.107761, SerializeDependencyMap=0.064142, SerializeStringAssetReferenceMap=0.006415, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.258290, SerializeExports=18.975016, SerializeBulkData=599.058533, MoveFile=3.518499, UnaccountedTime=2.016682, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_16, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=10.611948, FlushAsyncLoading=0.027370, FlushStreamingFunc=0.107761, BlockTillAllRequestsFinished=0.010692, ResetLoadersForSaveUnMarkAllObjects=0.292923, TagPackageExports=69.228683, BeginCacheForCookedPlatformData=0.008553, SerializeImports=77.786751, GatherLocalizableTextData=49.134148, MarkNames=0.331409, SerializeSummary=0.027794, SerializeNames=0.880051, SerializeGatherableTextData=0.639301, BuildExportMap=0.912551, SortExportsNonSeekfree=15.429151, SortExportsSeekfreeConstructor=0.026513, SortExportsSeekfreeInner=88.569748, SortExportsSeekfree=0.011548, BuildDependencyMap=1.766089, SerializeImportMap=0.050459, SerializeExportMap=0.337824, SerializeDependencyMap=0.132989, SerializeStringAssetReferenceMap=0.006843, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.887764, SerializeExports=110.376495, SerializeBulkData=0.015397, MoveFile=3.839646, UnaccountedTime=2.086814, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_17, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.590342, FlushAsyncLoading=0.005558, FlushStreamingFunc=0.062861, BlockTillAllRequestsFinished=0.009406, ResetLoadersForSaveUnMarkAllObjects=90.902016, TagPackageExports=3.794320, BeginCacheForCookedPlatformData=0.005987, SerializeImports=6.166354, GatherLocalizableTextData=26.491814, MarkNames=0.147533, SerializeSummary=0.036348, SerializeNames=0.886466, SerializeGatherableTextData=0.054311, BuildExportMap=0.614923, SortExportsNonSeekfree=1.607872, SortExportsSeekfreeConstructor=0.102628, SortExportsSeekfreeInner=42.632103, SortExportsSeekfree=0.010692, BuildDependencyMap=1.411162, SerializeImportMap=0.085097, SerializeExportMap=0.118025, SerializeDependencyMap=0.069704, SerializeStringAssetReferenceMap=0.011545, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.521705, SerializeExports=24.901905, SerializeBulkData=643.831787, MoveFile=5.199067, UnaccountedTime=2.284374, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_18, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=4.125301, FlushAsyncLoading=0.006843, FlushStreamingFunc=0.089802, BlockTillAllRequestsFinished=0.008125, ResetLoadersForSaveUnMarkAllObjects=0.148814, TagPackageExports=68.891716, BeginCacheForCookedPlatformData=0.008125, SerializeImports=74.352486, GatherLocalizableTextData=43.379166, MarkNames=0.276674, SerializeSummary=0.022665, SerializeNames=0.718411, SerializeGatherableTextData=0.460979, BuildExportMap=0.693608, SortExportsNonSeekfree=14.347684, SortExportsSeekfreeConstructor=0.027794, SortExportsSeekfreeInner=87.382233, SortExportsSeekfree=0.011116, BuildDependencyMap=0.579432, SerializeImportMap=0.053454, SerializeExportMap=0.378020, SerializeDependencyMap=0.072699, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.064373, SerializeExports=123.686333, SerializeBulkData=0.015393, MoveFile=1.971781, UnaccountedTime=2.034638, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_19, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=5.439393, FlushAsyncLoading=0.016250, FlushStreamingFunc=0.091083, BlockTillAllRequestsFinished=0.014968, ResetLoadersForSaveUnMarkAllObjects=0.339963, TagPackageExports=29.146511, BeginCacheForCookedPlatformData=0.008553, SerializeImports=150.045151, GatherLocalizableTextData=35.481781, MarkNames=0.231344, SerializeSummary=0.032499, SerializeNames=0.806075, SerializeGatherableTextData=0.310883, BuildExportMap=0.788543, SortExportsNonSeekfree=7.468473, SortExportsSeekfreeConstructor=0.156939, SortExportsSeekfreeInner=61.674683, SortExportsSeekfree=0.011116, BuildDependencyMap=0.260424, SerializeImportMap=0.083812, SerializeExportMap=0.264272, SerializeDependencyMap=0.038486, SerializeStringAssetReferenceMap=0.005133, SaveThumbNailsAssetRegistryDataWorldLevelInfo=17.769966, SerializeExports=68.924217, SerializeBulkData=0.021383, MoveFile=35.359055, UnaccountedTime=3.392778, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_20, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=66.148926, FlushAsyncLoading=0.017107, FlushStreamingFunc=0.080392, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=99.540474, TagPackageExports=3.832377, BeginCacheForCookedPlatformData=0.005562, SerializeImports=7.229857, GatherLocalizableTextData=29.360325, MarkNames=0.175327, SerializeSummary=0.032071, SerializeNames=1.078047, SerializeGatherableTextData=0.068419, BuildExportMap=0.735514, SortExportsNonSeekfree=1.887537, SortExportsSeekfreeConstructor=0.122730, SortExportsSeekfreeInner=54.979782, SortExportsSeekfree=0.011545, BuildDependencyMap=0.274111, SerializeImportMap=0.119310, SerializeExportMap=0.138976, SerializeDependencyMap=0.036776, SerializeStringAssetReferenceMap=0.005130, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.838578, SerializeExports=61.819218, SerializeBulkData=709.189148, MoveFile=4.301056, UnaccountedTime=2.518285, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
