CookerStat, GenerateAssetRegistry=32.314785, Initialize=133.843719, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_11, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=2.475523, FlushAsyncLoading=0.004705, FlushStreamingFunc=0.036348, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.103056, TagPackageExports=48.241261, BeginCacheForCookedPlatformData=0.008125, SerializeImports=48.513233, GatherLocalizableTextData=30.343861, MarkNames=1.213174, SerializeSummary=0.030790, SerializeNames=1.024589, SerializeGatherableTextData=0.646569, BuildExportMap=0.958309, SortExportsNonSeekfree=8.235209, SortExportsSeekfreeConstructor=0.020955, SortExportsSeekfreeInner=66.774117, SortExportsSeekfree=0.009835, BuildDependencyMap=0.324566, SerializeImportMap=0.042763, SerializeExportMap=0.219371, SerializeDependencyMap=0.039767, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.586514, SerializeExports=67.238091, SerializeBulkData=0.013258, MoveFile=1.462907, UnaccountedTime=1.566816, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_12, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=94.242622, FlushAsyncLoading=0.014968, FlushStreamingFunc=0.068419, BlockTillAllRequestsFinished=0.007696, ResetLoadersForSaveUnMarkAllObjects=75.438660, TagPackageExports=2.739794, BeginCacheForCookedPlatformData=0.004701, SerializeImports=4.969862, GatherLocalizableTextData=21.807608, MarkNames=0.131708, SerializeSummary=0.024803, SerializeNames=0.811633, SerializeGatherableTextData=0.051316, BuildExportMap=0.549499, SortExportsNonSeekfree=1.447510, SortExportsSeekfreeConstructor=0.095788, SortExportsSeekfreeInner=41.199127, SortExportsSeekfree=0.008982, BuildDependencyMap=0.203550, SerializeImportMap=0.070557, SerializeExportMap=0.106908, SerializeDependencyMap=0.026513, SerializeStringAssetReferenceMap=0.003848, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.036352, SerializeExports=16.473410, SerializeBulkData=525.220032, MoveFile=3.146466, UnaccountedTime=1.689974, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_13, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=4.394278, FlushAsyncLoading=0.013683, FlushStreamingFunc=0.062007, BlockTillAllRequestsFinished=0.005987, ResetLoadersForSaveUnMarkAllObjects=0.147957, TagPackageExports=52.487152, BeginCacheForCookedPlatformData=0.008982, SerializeImports=74.533798, GatherLocalizableTextData=40.574795, MarkNames=0.232201, SerializeSummary=0.024375, SerializeNames=0.727393, SerializeGatherableTextData=0.396408, BuildExportMap=0.727817, SortExportsNonSeekfree=9.183679, SortExportsSeekfreeConstructor=0.025231, SortExportsSeekfreeInner=77.109818, SortExportsSeekfree=0.011120, BuildDependencyMap=0.401538, SerializeImportMap=0.044473, SerializeExportMap=0.214241, SerializeDependencyMap=0.043616, SerializeStringAssetReferenceMap=0.003848, SaveThumbNailsAssetRegistryDataWorldLevelInfo=18.571768, SerializeExports=79.569519, SerializeBulkData=0.013683, MoveFile=1.893096, UnaccountedTime=1.751553, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_14, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.702808, FlushAsyncLoading=0.005558, FlushStreamingFunc=0.068419, BlockTillAllRequestsFinished=0.009410, ResetLoadersForSaveUnMarkAllObjects=82.650558, TagPackageExports=2.902292, BeginCacheForCookedPlatformData=0.006843, SerializeImports=4.889894, GatherLocalizableTextData=22.157404, MarkNames=0.132561, SerializeSummary=0.024375, SerializeNames=0.947192, SerializeGatherableTextData=0.059012, BuildExportMap=0.604659, SortExportsNonSeekfree=1.498401, SortExportsSeekfreeConstructor=0.097070, SortExportsSeekfreeInner=42.233986, SortExportsSeekfree=0.009835, BuildDependencyMap=0.206970, SerializeImportMap=0.075690, SerializeExportMap=0.102203, SerializeDependencyMap=0.027370, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.034213, SerializeExports=17.103727, SerializeBulkData=583.115845, MoveFile=3.725469, UnaccountedTime=2.258718, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_15, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=2.827030, FlushAsyncLoading=0.004277, FlushStreamingFunc=0.067137, BlockTillAllRequestsFinished=0.008553, ResetLoadersForSaveUnMarkAllObjects=0.128288, TagPackageExports=63.587879, BeginCacheForCookedPlatformData=0.008982, SerializeImports=72.222061, GatherLocalizableTextData=47.566898, MarkNames=0.284374, SerializeSummary=0.027794, SerializeNames=0.827454, SerializeGatherableTextData=0.548642, BuildExportMap=0.817195, SortExportsNonSeekfree=13.249538, SortExportsSeekfreeConstructor=0.045758, SortExportsSeekfreeInner=89.167572, SortExportsSeekfree=0.011116, BuildDependencyMap=0.384435, SerializeImportMap=0.054307, SerializeExportMap=0.265554, SerializeDependencyMap=0.047468, SerializeStringAssetReferenceMap=0.004273, SaveThumbNailsAssetRegistryDataWorldLevelInfo=17.778952, SerializeExports=91.061516, SerializeBulkData=0.015397, MoveFile=1.878988, UnaccountedTime=1.903787, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_16, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=2.954893, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.093222, BlockTillAllRequestsFinished=0.008982, ResetLoadersForSaveUnMarkAllObjects=0.120163, TagPackageExports=49.281246, BeginCacheForCookedPlatformData=0.008125, SerializeImports=51.439899, GatherLocalizableTextData=30.053932, MarkNames=1.109686, SerializeSummary=0.026513, SerializeNames=0.750482, SerializeGatherableTextData=0.486638, BuildExportMap=0.739790, SortExportsNonSeekfree=7.698968, SortExportsSeekfreeConstructor=0.103056, SortExportsSeekfreeInner=79.719612, SortExportsSeekfree=0.010263, BuildDependencyMap=0.342101, SerializeImportMap=0.042763, SerializeExportMap=0.204407, SerializeDependencyMap=0.053454, SerializeStringAssetReferenceMap=0.005558, SaveThumbNailsAssetRegistryDataWorldLevelInfo=17.113564, SerializeExports=69.048225, SerializeBulkData=0.014111, MoveFile=90.324295, UnaccountedTime=2.922818, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_17, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=143.315628, FlushAsyncLoading=0.014964, FlushStreamingFunc=0.069275, BlockTillAllRequestsFinished=0.007272, ResetLoadersForSaveUnMarkAllObjects=77.026428, TagPackageExports=2.581574, BeginCacheForCookedPlatformData=0.005133, SerializeImports=4.664965, GatherLocalizableTextData=22.479832, MarkNames=0.146676, SerializeSummary=0.035066, SerializeNames=0.943769, SerializeGatherableTextData=0.078253, BuildExportMap=0.632029, SortExportsNonSeekfree=1.572378, SortExportsSeekfreeConstructor=0.104342, SortExportsSeekfreeInner=45.968437, SortExportsSeekfree=0.009406, BuildDependencyMap=0.215951, SerializeImportMap=0.078257, SerializeExportMap=0.111610, SerializeDependencyMap=0.041477, SerializeStringAssetReferenceMap=0.005562, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.215527, SerializeExports=19.922205, SerializeBulkData=598.961060, MoveFile=3.567677, UnaccountedTime=2.150957, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_18, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=4.697461, FlushAsyncLoading=0.013687, FlushStreamingFunc=0.075262, BlockTillAllRequestsFinished=0.008550, ResetLoadersForSaveUnMarkAllObjects=0.151381, TagPackageExports=55.197445, BeginCacheForCookedPlatformData=0.008550, SerializeImports=60.188690, GatherLocalizableTextData=39.208107, MarkNames=0.251442, SerializeSummary=0.024375, SerializeNames=0.815053, SerializeGatherableTextData=0.445586, BuildExportMap=0.757325, SortExportsNonSeekfree=9.600614, SortExportsSeekfreeConstructor=0.021812, SortExportsSeekfreeInner=75.020439, SortExportsSeekfree=0.010692, BuildDependencyMap=0.358347, SerializeImportMap=0.046611, SerializeExportMap=0.227496, SerializeDependencyMap=0.043191, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=17.425732, SerializeExports=78.528679, SerializeBulkData=0.013258, MoveFile=1.699381, UnaccountedTime=1.604453, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_19, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=2.850123, FlushAsyncLoading=0.004705, FlushStreamingFunc=0.098780, BlockTillAllRequestsFinished=0.008982, ResetLoadersForSaveUnMarkAllObjects=85.639656, TagPackageExports=3.096010, BeginCacheForCookedPlatformData=0.006840, SerializeImports=5.399626, GatherLocalizableTextData=23.287617, MarkNames=0.132993, SerializeSummary=0.024375, SerializeNames=0.854820, SerializeGatherableTextData=0.053883, BuildExportMap=0.602525, SortExportsNonSeekfree=1.506522, SortExportsSeekfreeConstructor=0.097070, SortExportsSeekfreeInner=45.055027, SortExportsSeekfree=0.009406, BuildDependencyMap=0.229638, SerializeImportMap=0.081677, SerializeExportMap=0.121873, SerializeDependencyMap=0.028651, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.225790, SerializeExports=18.504198, SerializeBulkData=630.506958, MoveFile=15.288033, UnaccountedTime=3.745996, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_20, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=3.101569, FlushAsyncLoading=0.005558, FlushStreamingFunc=0.098780, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=0.159506, TagPackageExports=59.743958, BeginCacheForCookedPlatformData=0.008982, SerializeImports=66.825005, GatherLocalizableTextData=39.775990, MarkNames=0.264276, SerializeSummary=0.024799, SerializeNames=0.699595, SerializeGatherableTextData=0.387859, BuildExportMap=0.730384, SortExportsNonSeekfree=9.873011, SortExportsSeekfreeConstructor=0.021812, SortExportsSeekfreeInner=84.125862, SortExportsSeekfree=0.012401, BuildDependencyMap=0.446010, SerializeImportMap=0.051312, SerializeExportMap=0.262138, SerializeDependencyMap=0.059441, SerializeStringAssetReferenceMap=0.005562, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.375057, SerializeExports=90.163078, SerializeBulkData=0.014540, MoveFile=1.728460, UnaccountedTime=1.759250, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
